aapl	320193
msft	789019
amzn	1018724
goog	1652044
fb	1326801
tcehy	1293451
brk-a	1067983
baba	1577552
tsla	1318605
tsm	1046179
v	1403161
jpm	19617
jnj	200406
unh	731766
wmt	104169
spy	884394
lvmuy	824046
nvda	1045810
hd	354950
ma	1141391
bac	70858
pg	80424
dis	1744489
pypl	1633917
idcby	1445468
cmcsa	1166691
xom	34088
asml	937966
vz	732712
ko	21344
t	732717
adbe	796343
orcl	1341439
intc	50863
csco	858877
nflx	1065280
pfe	78003
cihky	1495688
nke	320187
tm	1094517
cvx	93410
abt	1800
abbv	1551152
bhp	811809
cichy	1445474
pep	77476
orcl	1341439
mrk	310158
nvs	1114448
crm	1108524
wfc	72971
ups	1090727
lly	59478
dhr	313616
acn	1467373
tmo	97745
avgo	1730168
mcd	63908
nvo	353278
acgby	1501437
tmus	1283699
rtntf	887028
mdt	1613103
cost	909832
txn	97476
bbl	1171264
sftby	1065521
sap	1000184
ms	895421
hon	773840
ul	217410
c	831001
lin	1707925
qcom	804328
pm	1413329
pdd	1737806
unp	100885
low	60667
rds-a	1306965
rio	863064
bud	1668717
nee	753308
amgn	318154
bmy	14272
azn	901832
ry	1000275
bachy	1378999
ba	12927
sbux	829224
shop	1594805
sny	1121404
schw	316709
chdry	1450488
cat	18230
hesay	1436949
chtr	1091667
blk	1364742
ibm	51143
hsbc	1089113
td	947263
rtx	101829
qqq	1067839
axp	4962
gs	886982
ptr	1108329
sony	313838
lfc	1268896
tot	879764
de	315189
mmm	66740
jd	1549802
ge	40545
se	1703399
amat	6951
vale	917851
cvs	64803
amt	1053507
lmt	936468
el	1001250
intu	896878
deo	835403
tgt	27419
sq	1512673
ppruy	1445465
hdb	1144967
isrg	1035267
dmlry	1067318
antm	1156039
mu	723125
syk	310764
gsk	1131399
fis	1136893
spgi	64040
mo	764180
abnb	1559720
bkng	1075531
ci	1739940
eadsy	1378580
amd	2488
now	1373715
usb	36104
bti	1303523
bp	313807
tjx	109198
sbgsy	923734
mdlz	1103982
pld	1045609
gm	1467858
uber	1543151
zm	1585521
pnc	713676
lrcx	707549
gild	882095
bnpqy	310732
adp	8670
frcoy	1446595
aiquy	1161167
fdx	1048911
tfc	92230
enb	895728
zts	1555280
bns	9631
duk	1326160
cni	16868
snp	1123658
snap	1564408
cci	1051470
fisv	798354
cb	896159
csx	277948
infy	1067491
cop	1163165
shw	89800
wbk	719245
cta-pa	30554
dell	1571996
itw	49826
hkxcy	1445476
cme	1156375
esloy	1085922
nsc	702165
ntes	1110646
atvi	718877
atlky	748954
cof	927628
kddiy	1106215
bam	1001085
bdx	10795
mufg	67088
toely	1443276
eqnr	1140625
shecy	1442651
so	92122
mmc	62709
hca	860730
pstvy	1689565
cl	21665
meli	1099590
san	891478
vmw	1124610
abb	1091587
njdcy	1158967
chgcy	1453934
eqix	1101239
vcisy	1065198
safry	1364012
ecl	31462
ice	1571949
apd	2969
d	715957
bx	1393818
rbgly	1420798
cpng	1834584
mrna	1682852
bmo	927971
mco	1059556
fcx	831259
csuay	1445470
scco	1001838
pgr	80661
bidu	1329099
bsx	885725
glncy	1524684
dkily	1446519
adsk	769397
wm	823768
noc	1133421
hum	49071
pbr	1119639
byddy	1445162
cfruy	948401
dnngy	1679771
etn	1551182
met	1099219
aon	315293
puk	1116578
